file_names,label
Orthoptera_XXXXigeXXES_14VII2022_870_split_30_35.png,20
Orthoptera_banytec81FR_12VII2022_i293_split_15_17.png,55
Orthoptera_rupamou09FR_08IX2022_626_split_0_5.png,59
Hemiptera_rdmamar81FR_23VII2022_i261_split_0_5.png,16
Orthoptera_XXXXporXXES_30IV2022_i118_split_10_15.png,16
Orthoptera_alasbal09FR_21VII2022_i286_split_0_5.png,55
Orthoptera_ladrlmm81FR_24VIII2022_697_split_0_5.png,61
Anura_cdcafon31FR_04IV2022_2200_split_30_35.png,13
Anura_estalep09FR_28III2022_1045_split_0_5.png,16
Aves_JoCa_Emd-00ES_16III2018_124_split_140_145.png,2
Anura_cdcafon31FR_04IV2022_2330_split_40_45.png,12
Orthoptera_bassaur31FR_02VI2022_i242_split_30_31.png,20
Aves_ArWa_Akla00KZ_21V2016_106_split_125_130.png,2
Orthoptera_gdbaaur32FR_28VII2022_i377_split_10_15.png,42
Orthoptera_XXXXigeXXES_14VII2022_854_split_80_85.png,50
Orthoptera_XXXXjacXXES_26VIII2022_1030_split_50_55.png,25
Aves_JaMa_FoSc00PL_07VI2012_754_split_70_75.png,7
Orthoptera_XXXXporXXES_06V2022_i125_split_85_90.png,53
Aves_JaMa_XXXX00PL_20VII2014_522_split_5_10.png,30
Aves_OlSW_FrLo00FR_03VI2017_182_split_75_80.png,11
Aves_JoCa_sade00ES_06VIII2016_399_split_15_20.png,21
Aves_PaÅb_HoVÃ00SE_10IV2008_272_split_25_30.png,51
Aves_YoBl_FrNA00XX_02VI2020_432_split_5_10.png,21
Anura_cfacalb81FR_17III2022_0200_split_15_20.png,5
Aves_KrDe_JePo00PL_26III2014_545_split_30_35.png,4
Aves_FeDE_MoCÃ00ES_29VI1995_436_split_60_65.png,41
Orthoptera_puybcam46FR_16V2022_i223_split_20_25.png,20
Anura_cdcafon31FR_05IV2022_2145_split_55_60.png,12
Orthoptera_XXXXbid07FR_27IV2022_i99_split_35_40.png,39
